date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:29	701/701	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Jun%202019%2008:42:31%20GMT	http://zoyothemes.com/eagle/js/portfolio-filter.js	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/js/portfolio-filter.js	(from http://zoyothemes.com/eagle/index.html)
23:01:29	523/523	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Jun%202019%2008:42:31%20GMT	http://zoyothemes.com/eagle/js/app.js	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/js/app.js	(from http://zoyothemes.com/eagle/index.html)
23:01:35	128480/128480	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-1f5e0%22	http://zoyothemes.com/eagle/images/works/img8.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img8.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:47	103708/103708	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-1951c%22	http://zoyothemes.com/eagle/fonts/materialdesignicons-webfont.woff2?v=1.9.32	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/materialdesignicons-webfontb43a.woff2	(from http://zoyothemes.com/eagle/css/materialdesignicons.min.css)
23:01:57	135276/135276	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-2106c%22	http://zoyothemes.com/eagle/fonts/materialdesignicons-webfont.woff?v=1.9.32	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/materialdesignicons-webfontb43a.woff	(from http://zoyothemes.com/eagle/css/materialdesignicons.min.css)
23:02:11	2079231/2079231	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2010%20Jul%202017%2005:14:15%20GMT	http://zoyothemes.com/eagle/fonts/materialdesignicons-webfont.svg?v=1.9.32	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/materialdesignicons-webfontb43a.svg	(from http://zoyothemes.com/eagle/css/materialdesignicons.min.css)
23:02:18	274684/274684	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-430fc%22	http://zoyothemes.com/eagle/fonts/materialdesignicons-webfont.eot?v=1.9.32	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/materialdesignicons-webfontb43a.eot	(from http://zoyothemes.com/eagle/css/materialdesignicons.min.css)
23:02:19	274684/274684	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-430fc%22	http://zoyothemes.com/eagle/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/materialdesignicons-webfontd41d.eot	(from http://zoyothemes.com/eagle/css/materialdesignicons.min.css)
23:02:21	58680/58680	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-e538%22	http://zoyothemes.com/eagle/fonts/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/Pe-icon-7-strokebb1d.eot	(from http://zoyothemes.com/eagle/css/pe-icon-7-stroke.css)
23:02:28	58680/58680	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-e538%22	http://zoyothemes.com/eagle/fonts/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/Pe-icon-7-stroked41d.eot	(from http://zoyothemes.com/eagle/css/pe-icon-7-stroke.css)
23:02:31	58556/58556	---M--	200	added ('OK')	application/octet-stream	etag:%2259630d27-e4bc%22	http://zoyothemes.com/eagle/fonts/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/fonts/Pe-icon-7-strokebb1d.woff	(from http://zoyothemes.com/eagle/css/pe-icon-7-stroke.css)
